a.C. ;Antes de Cristo
vern ;Vernáculo
Vet ;Veterinária
vfreq ;Verbo freqüentativo
vinc ;Verbo incoativo 
vint ;Verbo intransitivo 
vlig ;Verbo de ligação
voc ;Vocábulo
vpr ;Verbo pronominal
vtd ;Verbo transitivo direto
vtdi ;Verbo transitivo direto e indireto
vti ;Verbo transitivo indireto
Zool ;Zoologia
Zootécn ;Zootécnica
